name,description,price,stock,image_url
Laptop Pro,High-performance laptop for professionals,1299.99,25,https://via.placeholder.com/300?text=Laptop+Pro
Wireless Mouse,Ergonomic wireless mouse with precision tracking,49.99,150,https://via.placeholder.com/300?text=Wireless+Mouse
USB-C Cable,High-speed USB-C charging and data cable,19.99,200,https://via.placeholder.com/300?text=USB-C+Cable
Mechanical Keyboard,RGB mechanical gaming keyboard,149.99,80,https://via.placeholder.com/300?text=Mechanical+Keyboard
Headphones,Premium noise-cancelling headphones,299.99,40,https://via.placeholder.com/300?text=Headphones
Webcam 4K,4K ultra HD webcam for streaming,199.99,60,https://via.placeholder.com/300?text=Webcam+4K
External SSD,1TB high-speed external solid state drive,129.99,100,https://via.placeholder.com/300?text=External+SSD
Monitor,27 inch 4K curved gaming monitor,399.99,35,https://via.placeholder.com/300?text=Monitor
Desktop Stand,Adjustable ergonomic monitor stand,79.99,120,https://via.placeholder.com/300?text=Monitor+Stand
USB Hub,7-in-1 USB 3.0 hub,59.99,90,https://via.placeholder.com/300?text=USB+Hub
